ID,# of RTs,HashTags,TweetIds,Date,Replier Ids,Retweeted Distinct Ids,Tweets,Urls in Tweet,Username,,
99,0,,7.96E+017,11/8/2016 22:27:00,7.96E+017,,"@NellSco if @realDonaldTrump wins expressions on Paul Ryan &amp; Mitch McConnell faces will be like post-OJ verdict faces of Shapiro, Kardashian",,jisham,,
100,0,FlipTheSenate,7.96E+017,11/8/2016 22:27:00,,,YES!,https://twitter.com/jonathanjewel/status/795832580884963328,Haunted_Hiker,,
101,0,craigelectionselfies,7.96E+017,11/8/2016 22:27:00,,,picture with Paul Ryan,,showchoirsw,,
102,910,ElectionDay,7.96E+017,11/8/2016 21:15:00,,2920140973,First exit polls coming soon. Remember Brexit. Would be a shock for Team Hildabeast if she is not ahead.,,MarkRedenius,,
103,95,"ElectionNight, ElectionDay, IVoted",7.96E+017,11/8/2016 22:28:00,,4927477743,"Nigel Farage: ""It Feels Just Like Brexit Day In America""

",,UsmanIliyasuM09,,
104,5779,,7.96E+017,11/8/2016 17:53:00,,2850696489,"dear america, we thought it would be a fun joke to vote brexit and now we all want to die. take this a bit seriously. sincerely, britain",,umarahmed07,,
105,89,ElectionDay,7.96E+017,11/8/2016 20:02:00,,233053070,If  is like Brexit I fear the Americans won't understand the consequences until it messes with food like Toblerones or Marmite.,,_jamielevy,,
106,16,"Brexit, ElectionNight",7.96E+017,11/8/2016 22:13:00,,397352220," was 10/1.

Will there be a shock on #ElectionNight? Trump is 4/1",http://sky.me/2fh7600,mattdidlick,,
107,0,,7.96E+017,11/8/2016 22:36:00,,,JAJAJAJAJ se ha puesto a dieta el toblerone,https://twitter.com/el_pais/status/796117656906723328,SthiferYT,,
108,0,SkyNews,7.96E+017,11/8/2016 22:36:00,,,"""The quotes on Hillary winning are 5:1 ... about what it was with us not leaving at brexit"" ... Humor haben sie ja bei",,MoepMan,,
109,29,,7.96E+017,11/8/2016 22:35:00,,1090049268,"The last hope for Trump supporters is that all the polls will be wrong like Brexit, except the polls weren't actually wrong on Brexit",,nathanielhaas2,,
110,0,,7.96E+017,11/8/2016 22:36:00,7.96E+017,,@LMcErlean i've a feeling it could go like brexit and be a shock result,,chl0conut,,
111,0,,7.96E+017,11/8/2016 22:36:00,,,Clinton or Trump? Poll That Accurately Predicted Brexit Predicts Presidential Winner -,http://curated-news.com/gossips/celebs-clinton-or-trump-poll-that-accurately-predicted-brexit-predicts-presidential-winner,NickHarrys,,
112,246,ElectionNight,7.96E+017,11/8/2016 22:18:00,,119195187,"Nigel Farage ""It Feels Just Like Brexit Day In America 
",,peelows,,
113,50,,7.96E+017,11/8/2016 17:52:00,,1074162278,Now EU’s controversial Brexit negotiator promises to ‘work for the 48% Remain voters’,http://shr.gs/gm3dEpc,UKMarkTyrrell,,
114,101,,7.96E+017,11/8/2016 21:52:00,,41385732,"¿El chocolate Toblerone cambió de forma por el 'Brexit'?
",http://cnn.it/2eSSGT5,blancaysnow,,
115,1,,7.96E+017,11/8/2016 22:02:00,,7.46E+017,For all nigs/normies trying to be a smartass about this post: He's referring to sovereignty vs globalism. UK didn't…,https://t.co/m8sCkYGmpO,monarch_autist,,
116,0,"VoteTrump, MAGA",7.96E+017,11/8/2016 22:36:00,7.96E+017,,???????????? 80s child Reagan lover - Brexit supporter,,HmrncnrnHolli,,
